101
81
T [GeV]		muB [GeV]		c1_T3 [fm^3/GeV^2 * GeV^3]
0.115000		-0.740000		-0.039122
0.116000		-0.740000		-0.037328
0.117000		-0.740000		-0.035635
0.118000		-0.740000		-0.034038
0.119000		-0.740000		-0.032530
0.120000		-0.740000		-0.031106
0.121000		-0.740000		-0.029760
0.122000		-0.740000		-0.028487
0.123000		-0.740000		-0.027284
0.124000		-0.740000		-0.026144
0.125000		-0.740000		-0.025065
0.126000		-0.740000		-0.024043
0.127000		-0.740000		-0.023075
0.128000		-0.740000		-0.022157
0.129000		-0.740000		-0.021286
0.130000		-0.740000		-0.020459
0.131000		-0.740000		-0.019674
0.132000		-0.740000		-0.018928
0.133000		-0.740000		-0.018220
0.134000		-0.740000		-0.017546
0.135000		-0.740000		-0.016905
0.136000		-0.740000		-0.016295
0.137000		-0.740000		-0.015715
0.138000		-0.740000		-0.015162
0.139000		-0.740000		-0.014635
0.140000		-0.740000		-0.014133
0.141000		-0.740000		-0.013654
0.142000		-0.740000		-0.013197
0.143000		-0.740000		-0.012761
0.144000		-0.740000		-0.012344
0.145000		-0.740000		-0.011946
0.146000		-0.740000		-0.011566
0.147000		-0.740000		-0.011203
0.148000		-0.740000		-0.010855
0.149000		-0.740000		-0.010522
0.150000		-0.740000		-0.010204
0.151000		-0.740000		-0.009899
0.152000		-0.740000		-0.009607
0.153000		-0.740000		-0.009327
0.154000		-0.740000		-0.009058
0.155000		-0.740000		-0.008801
0.156000		-0.740000		-0.008553
0.157000		-0.740000		-0.008316
0.158000		-0.740000		-0.008088
0.159000		-0.740000		-0.007869
0.160000		-0.740000		-0.007659
0.161000		-0.740000		-0.007457
0.162000		-0.740000		-0.007262
0.163000		-0.740000		-0.007075
0.164000		-0.740000		-0.006895
0.165000		-0.740000		-0.006722
0.166000		-0.740000		-0.006555
0.167000		-0.740000		-0.006394
0.168000		-0.740000		-0.006239
0.169000		-0.740000		-0.006089
0.170000		-0.740000		-0.005945
0.171000		-0.740000		-0.005805
0.172000		-0.740000		-0.005671
0.173000		-0.740000		-0.005541
0.174000		-0.740000		-0.005416
0.175000		-0.740000		-0.005294
0.176000		-0.740000		-0.005177
0.177000		-0.740000		-0.005064
0.178000		-0.740000		-0.004954
0.179000		-0.740000		-0.004848
0.180000		-0.740000		-0.004746
0.181000		-0.740000		-0.004646
0.182000		-0.740000		-0.004550
0.183000		-0.740000		-0.004457
0.184000		-0.740000		-0.004366
0.185000		-0.740000		-0.004279
0.186000		-0.740000		-0.004194
0.187000		-0.740000		-0.004111
0.188000		-0.740000		-0.004031
0.189000		-0.740000		-0.003953
0.190000		-0.740000		-0.003878
0.191000		-0.740000		-0.003805
0.192000		-0.740000		-0.003733
0.193000		-0.740000		-0.003664
0.194000		-0.740000		-0.003597
0.195000		-0.740000		-0.003531
0.196000		-0.740000		-0.003468
0.197000		-0.740000		-0.003406
0.198000		-0.740000		-0.003345
0.199000		-0.740000		-0.003287
0.200000		-0.740000		-0.003229
0.100000		-0.720000		-0.102879
0.101000		-0.720000		-0.097121
0.102000		-0.720000		-0.091745
0.103000		-0.720000		-0.086723
0.104000		-0.720000		-0.082029
0.105000		-0.720000		-0.077638
0.106000		-0.720000		-0.073529
0.107000		-0.720000		-0.069680
0.108000		-0.720000		-0.066074
0.109000		-0.720000		-0.062693
0.110000		-0.720000		-0.059521
0.111000		-0.720000		-0.056543
0.112000		-0.720000		-0.053747
0.113000		-0.720000		-0.051119
0.114000		-0.720000		-0.048648
0.115000		-0.720000		-0.046324
0.116000		-0.720000		-0.044136
0.117000		-0.720000		-0.042076
0.118000		-0.720000		-0.040135
0.119000		-0.720000		-0.038305
0.120000		-0.720000		-0.036579
0.121000		-0.720000		-0.034950
0.122000		-0.720000		-0.033412
0.123000		-0.720000		-0.031960
0.124000		-0.720000		-0.030587
0.125000		-0.720000		-0.029288
0.126000		-0.720000		-0.028060
0.127000		-0.720000		-0.026898
0.128000		-0.720000		-0.025797
0.129000		-0.720000		-0.024754
0.130000		-0.720000		-0.023765
0.131000		-0.720000		-0.022828
0.132000		-0.720000		-0.021938
0.133000		-0.720000		-0.021094
0.134000		-0.720000		-0.020292
0.135000		-0.720000		-0.019530
0.136000		-0.720000		-0.018806
0.137000		-0.720000		-0.018117
0.138000		-0.720000		-0.017462
0.139000		-0.720000		-0.016838
0.140000		-0.720000		-0.016244
0.141000		-0.720000		-0.015679
0.142000		-0.720000		-0.015139
0.143000		-0.720000		-0.014625
0.144000		-0.720000		-0.014134
0.145000		-0.720000		-0.013666
0.146000		-0.720000		-0.013219
0.147000		-0.720000		-0.012792
0.148000		-0.720000		-0.012384
0.149000		-0.720000		-0.011994
0.150000		-0.720000		-0.011620
0.151000		-0.720000		-0.011263
0.152000		-0.720000		-0.010921
0.153000		-0.720000		-0.010594
0.154000		-0.720000		-0.010280
0.155000		-0.720000		-0.009980
0.156000		-0.720000		-0.009691
0.157000		-0.720000		-0.009415
0.158000		-0.720000		-0.009149
0.159000		-0.720000		-0.008895
0.160000		-0.720000		-0.008650
0.161000		-0.720000		-0.008415
0.162000		-0.720000		-0.008189
0.163000		-0.720000		-0.007972
0.164000		-0.720000		-0.007763
0.165000		-0.720000		-0.007562
0.166000		-0.720000		-0.007368
0.167000		-0.720000		-0.007181
0.168000		-0.720000		-0.007002
0.169000		-0.720000		-0.006829
0.170000		-0.720000		-0.006662
0.171000		-0.720000		-0.006501
0.172000		-0.720000		-0.006346
0.173000		-0.720000		-0.006196
0.174000		-0.720000		-0.006051
0.175000		-0.720000		-0.005911
0.176000		-0.720000		-0.005776
0.177000		-0.720000		-0.005645
0.178000		-0.720000		-0.005519
0.179000		-0.720000		-0.005397
0.180000		-0.720000		-0.005279
0.181000		-0.720000		-0.005165
0.182000		-0.720000		-0.005054
0.183000		-0.720000		-0.004947
0.184000		-0.720000		-0.004843
0.185000		-0.720000		-0.004742
0.186000		-0.720000		-0.004645
0.187000		-0.720000		-0.004550
0.188000		-0.720000		-0.004458
0.189000		-0.720000		-0.004369
0.190000		-0.720000		-0.004283
0.191000		-0.720000		-0.004199
0.192000		-0.720000		-0.004117
0.193000		-0.720000		-0.004038
0.194000		-0.720000		-0.003961
0.195000		-0.720000		-0.003886
0.196000		-0.720000		-0.003813
0.197000		-0.720000		-0.003742
0.198000		-0.720000		-0.003674
0.199000		-0.720000		-0.003607
0.200000		-0.720000		-0.003541
0.100000		-0.700000		-0.124551
0.101000		-0.700000		-0.117368
0.102000		-0.700000		-0.110675
0.103000		-0.700000		-0.104434
0.104000		-0.700000		-0.098613
0.105000		-0.700000		-0.093177
0.106000		-0.700000		-0.088100
0.107000		-0.700000		-0.083353
0.108000		-0.700000		-0.078913
0.109000		-0.700000		-0.074758
0.110000		-0.700000		-0.070866
0.111000		-0.700000		-0.067219
0.112000		-0.700000		-0.063800
0.113000		-0.700000		-0.060592
0.114000		-0.700000		-0.057580
0.115000		-0.700000		-0.054752
0.116000		-0.700000		-0.052093
0.117000		-0.700000		-0.049594
0.118000		-0.700000		-0.047242
0.119000		-0.700000		-0.045028
0.120000		-0.700000		-0.042943
0.121000		-0.700000		-0.040978
0.122000		-0.700000		-0.039126
0.123000		-0.700000		-0.037378
0.124000		-0.700000		-0.035728
0.125000		-0.700000		-0.034171
0.126000		-0.700000		-0.032699
0.127000		-0.700000		-0.031307
0.128000		-0.700000		-0.029991
0.129000		-0.700000		-0.028746
0.130000		-0.700000		-0.027567
0.131000		-0.700000		-0.026450
0.132000		-0.700000		-0.025392
0.133000		-0.700000		-0.024389
0.134000		-0.700000		-0.023437
0.135000		-0.700000		-0.022533
0.136000		-0.700000		-0.021675
0.137000		-0.700000		-0.020860
0.138000		-0.700000		-0.020086
0.139000		-0.700000		-0.019349
0.140000		-0.700000		-0.018648
0.141000		-0.700000		-0.017981
0.142000		-0.700000		-0.017346
0.143000		-0.700000		-0.016741
0.144000		-0.700000		-0.016164
0.145000		-0.700000		-0.015614
0.146000		-0.700000		-0.015089
0.147000		-0.700000		-0.014589
0.148000		-0.700000		-0.014110
0.149000		-0.700000		-0.013654
0.150000		-0.700000		-0.013217
0.151000		-0.700000		-0.012800
0.152000		-0.700000		-0.012400
0.153000		-0.700000		-0.012018
0.154000		-0.700000		-0.011653
0.155000		-0.700000		-0.011302
0.156000		-0.700000		-0.010966
0.157000		-0.700000		-0.010645
0.158000		-0.700000		-0.010336
0.159000		-0.700000		-0.010040
0.160000		-0.700000		-0.009756
0.161000		-0.700000		-0.009483
0.162000		-0.700000		-0.009221
0.163000		-0.700000		-0.008969
0.164000		-0.700000		-0.008727
0.165000		-0.700000		-0.008494
0.166000		-0.700000		-0.008270
0.167000		-0.700000		-0.008054
0.168000		-0.700000		-0.007846
0.169000		-0.700000		-0.007646
0.170000		-0.700000		-0.007454
0.171000		-0.700000		-0.007268
0.172000		-0.700000		-0.007089
0.173000		-0.700000		-0.006916
0.174000		-0.700000		-0.006749
0.175000		-0.700000		-0.006588
0.176000		-0.700000		-0.006433
0.177000		-0.700000		-0.006282
0.178000		-0.700000		-0.006137
0.179000		-0.700000		-0.005997
0.180000		-0.700000		-0.005861
0.181000		-0.700000		-0.005730
0.182000		-0.700000		-0.005603
