101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.164000		-0.720000		11.639632
0.165000		-0.720000		11.896617
0.166000		-0.720000		12.157244
0.167000		-0.720000		12.421535
0.168000		-0.720000		12.689511
0.169000		-0.720000		12.961193
0.170000		-0.720000		13.236602
0.171000		-0.720000		13.515761
0.172000		-0.720000		13.798692
0.173000		-0.720000		14.085416
0.174000		-0.720000		14.375958
0.175000		-0.720000		14.670339
0.176000		-0.720000		14.968583
0.177000		-0.720000		15.270714
0.178000		-0.720000		15.576756
0.179000		-0.720000		15.886732
0.180000		-0.720000		16.200667
0.181000		-0.720000		16.518586
0.182000		-0.720000		16.840515
0.183000		-0.720000		17.166478
0.184000		-0.720000		17.496501
0.185000		-0.720000		17.830611
0.186000		-0.720000		18.168833
0.187000		-0.720000		18.511194
0.188000		-0.720000		18.857721
0.189000		-0.720000		19.208442
0.190000		-0.720000		19.563384
0.191000		-0.720000		19.922574
0.192000		-0.720000		20.286042
0.193000		-0.720000		20.653815
0.194000		-0.720000		21.025922
0.195000		-0.720000		21.402393
0.196000		-0.720000		21.783256
0.197000		-0.720000		22.168541
0.198000		-0.720000		22.558278
0.199000		-0.720000		22.952497
0.200000		-0.720000		23.351228
0.100000		-0.700000		1.634172
0.101000		-0.700000		1.695218
0.102000		-0.700000		1.758090
0.103000		-0.700000		1.822824
0.104000		-0.700000		1.889457
0.105000		-0.700000		1.958025
0.106000		-0.700000		2.028564
0.107000		-0.700000		2.101111
0.108000		-0.700000		2.175699
0.109000		-0.700000		2.252365
0.110000		-0.700000		2.331144
0.111000		-0.700000		2.412069
0.112000		-0.700000		2.495176
0.113000		-0.700000		2.580498
0.114000		-0.700000		2.668069
0.115000		-0.700000		2.757922
0.116000		-0.700000		2.850089
0.117000		-0.700000		2.944603
0.118000		-0.700000		3.041496
0.119000		-0.700000		3.140799
0.120000		-0.700000		3.242543
0.121000		-0.700000		3.346758
0.122000		-0.700000		3.453476
0.123000		-0.700000		3.562726
0.124000		-0.700000		3.674536
0.125000		-0.700000		3.788937
0.126000		-0.700000		3.905956
0.127000		-0.700000		4.025622
0.128000		-0.700000		4.147963
0.129000		-0.700000		4.273005
0.130000		-0.700000		4.400775
0.131000		-0.700000		4.531302
0.132000		-0.700000		4.664609
0.133000		-0.700000		4.800724
0.134000		-0.700000		4.939673
0.135000		-0.700000		5.081479
0.136000		-0.700000		5.226169
0.137000		-0.700000		5.373768
0.138000		-0.700000		5.524298
0.139000		-0.700000		5.677786
0.140000		-0.700000		5.834255
0.141000		-0.700000		5.993728
0.142000		-0.700000		6.156229
0.143000		-0.700000		6.321783
0.144000		-0.700000		6.490411
0.145000		-0.700000		6.662138
0.146000		-0.700000		6.836986
0.147000		-0.700000		7.014979
0.148000		-0.700000		7.196138
0.149000		-0.700000		7.380488
0.150000		-0.700000		7.568051
0.151000		-0.700000		7.758850
0.152000		-0.700000		7.952906
0.153000		-0.700000		8.150245
0.154000		-0.700000		8.350887
0.155000		-0.700000		8.554856
0.156000		-0.700000		8.762175
0.157000		-0.700000		8.972867
0.158000		-0.700000		9.186955
0.159000		-0.700000		9.404461
0.160000		-0.700000		9.625410
0.161000		-0.700000		9.849825
0.162000		-0.700000		10.077729
0.163000		-0.700000		10.309146
0.164000		-0.700000		10.544100
0.165000		-0.700000		10.782615
0.166000		-0.700000		11.024714
0.167000		-0.700000		11.270424
0.168000		-0.700000		11.519767
0.169000		-0.700000		11.772769
0.170000		-0.700000		12.029455
0.171000		-0.700000		12.289850
0.172000		-0.700000		12.553979
0.173000		-0.700000		12.821869
0.174000		-0.700000		13.093545
0.175000		-0.700000		13.369034
0.176000		-0.700000		13.648361
0.177000		-0.700000		13.931554
0.178000		-0.700000		14.218639
0.179000		-0.700000		14.509644
0.180000		-0.700000		14.804596
0.181000		-0.700000		15.103523
0.182000		-0.700000		15.406453
0.183000		-0.700000		15.713414
0.184000		-0.700000		16.024435
0.185000		-0.700000		16.339544
0.186000		-0.700000		16.658771
0.187000		-0.700000		16.982144
0.188000		-0.700000		17.309695
0.189000		-0.700000		17.641451
0.190000		-0.700000		17.977444
0.191000		-0.700000		18.317704
0.192000		-0.700000		18.662262
0.193000		-0.700000		19.011148
0.194000		-0.700000		19.364394
0.195000		-0.700000		19.722030
0.196000		-0.700000		20.084090
0.197000		-0.700000		20.450604
0.198000		-0.700000		20.821605
0.199000		-0.700000		21.197125
0.200000		-0.700000		21.577196
0.100000		-0.680000		1.479003
0.101000		-0.680000		1.533534
0.102000		-0.680000		1.589705
0.103000		-0.680000		1.647553
0.104000		-0.680000		1.707112
0.105000		-0.680000		1.768418
0.106000		-0.680000		1.831505
0.107000		-0.680000		1.896409
0.108000		-0.680000		1.963164
0.109000		-0.680000		2.031805
0.110000		-0.680000		2.102366
0.111000		-0.680000		2.174883
0.112000		-0.680000		2.249388
0.113000		-0.680000		2.325916
0.114000		-0.680000		2.404500
0.115000		-0.680000		2.485175
0.116000		-0.680000		2.567972
0.117000		-0.680000		2.652925
0.118000		-0.680000		2.740067
0.119000		-0.680000		2.829429
0.120000		-0.680000		2.921044
0.121000		-0.680000		3.014943
0.122000		-0.680000		3.111159
0.123000		-0.680000		3.209721
0.124000		-0.680000		3.310661
0.125000		-0.680000		3.414009
0.126000		-0.680000		3.519796
0.127000		-0.680000		3.628051
0.128000		-0.680000		3.738804
0.129000		-0.680000		3.852085
0.130000		-0.680000		3.967922
0.131000		-0.680000		4.086344
0.132000		-0.680000		4.207380
0.133000		-0.680000		4.331058
0.134000		-0.680000		4.457407
0.135000		-0.680000		4.586453
0.136000		-0.680000		4.718225
0.137000		-0.680000		4.852750
0.138000		-0.680000		4.990056
0.139000		-0.680000		5.130168
0.140000		-0.680000		5.273115
0.141000		-0.680000		5.418923
0.142000		-0.680000		5.567619
0.143000		-0.680000		5.719228
0.144000		-0.680000		5.873778
0.145000		-0.680000		6.031294
0.146000		-0.680000		6.191803
0.147000		-0.680000		6.355331
0.148000		-0.680000		6.521904
0.149000		-0.680000		6.691549
0.150000		-0.680000		6.864290
0.151000		-0.680000		7.040154
0.152000		-0.680000		7.219168
0.153000		-0.680000		7.401356
0.154000		-0.680000		7.586746
0.155000		-0.680000		7.775362
0.156000		-0.680000		7.967233
0.157000		-0.680000		8.162383
0.158000		-0.680000		8.360838
0.159000		-0.680000		8.562627
0.160000		-0.680000		8.767774
0.161000		-0.680000		8.976306
0.162000		-0.680000		9.188251
0.163000		-0.680000		9.403635
0.164000		-0.680000		9.622485
0.165000		-0.680000		9.844829
0.166000		-0.680000		10.070693
0.167000		-0.680000		10.300105
0.168000		-0.680000		10.533094
0.169000		-0.680000		10.769686
0.170000		-0.680000		11.009909
0.171000		-0.680000		11.253794
0.172000		-0.680000		11.501366
0.173000		-0.680000		11.752656
0.174000		-0.680000		12.007692
0.175000		-0.680000		12.266504
0.176000		-0.680000		12.529120
0.177000		-0.680000		12.795570
0.178000		-0.680000		13.065884
0.179000		-0.680000		13.340092
0.180000		-0.680000		13.618225
0.181000		-0.680000		13.900312
0.182000		-0.680000		14.186385
0.183000		-0.680000		14.476474
0.184000		-0.680000		14.770610
0.185000		-0.680000		15.068826
0.186000		-0.680000		15.371153
0.187000		-0.680000		15.677622
0.188000		-0.680000		15.988266
0.189000		-0.680000		16.303117
0.190000		-0.680000		16.622209
0.191000		-0.680000		16.945572
0.192000		-0.680000		17.273242
0.193000		-0.680000		17.605251
0.194000		-0.680000		17.941632
0.195000		-0.680000		18.282420
0.196000		-0.680000		18.627648
0.197000		-0.680000		18.977351
0.198000		-0.680000		19.331562
0.199000		-0.680000		19.690318
0.200000		-0.680000		20.053651
0.100000		-0.660000		1.352391
0.101000		-0.660000		1.401612
0.102000		-0.660000		1.452314
0.103000		-0.660000		1.504531
0.104000		-0.660000		1.558298
0.105000		-0.660000		1.613647
0.106000		-0.660000		1.670613
0.107000		-0.660000		1.729230
0.108000		-0.660000		1.789531
0.109000		-0.660000		1.851550
0.110000		-0.660000		1.915322
0.111000		-0.660000		1.980879
0.112000		-0.660000		2.048256
0.113000		-0.660000		2.117487
0.114000		-0.660000		2.188603
0.115000		-0.660000		2.261640
0.116000		-0.660000		2.336629
0.117000		-0.660000		2.413604
0.118000		-0.660000		2.492599
0.119000		-0.660000		2.573644
0.120000		-0.660000		2.656773
0.121000		-0.660000		2.742019
