101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		-0.720000		-0.049792
0.101000		-0.720000		-0.047869
0.102000		-0.720000		-0.046041
0.103000		-0.720000		-0.044304
0.104000		-0.720000		-0.042651
0.105000		-0.720000		-0.041078
0.106000		-0.720000		-0.039580
0.107000		-0.720000		-0.038154
0.108000		-0.720000		-0.036795
0.109000		-0.720000		-0.035499
0.110000		-0.720000		-0.034264
0.111000		-0.720000		-0.033085
0.112000		-0.720000		-0.031960
0.113000		-0.720000		-0.030887
0.114000		-0.720000		-0.029861
0.115000		-0.720000		-0.028881
0.116000		-0.720000		-0.027944
0.117000		-0.720000		-0.027049
0.118000		-0.720000		-0.026192
0.119000		-0.720000		-0.025372
0.120000		-0.720000		-0.024587
0.121000		-0.720000		-0.023835
0.122000		-0.720000		-0.023115
0.123000		-0.720000		-0.022424
0.124000		-0.720000		-0.021763
0.125000		-0.720000		-0.021128
0.126000		-0.720000		-0.020519
0.127000		-0.720000		-0.019934
0.128000		-0.720000		-0.019373
0.129000		-0.720000		-0.018834
0.130000		-0.720000		-0.018316
0.131000		-0.720000		-0.017818
0.132000		-0.720000		-0.017339
0.133000		-0.720000		-0.016878
0.134000		-0.720000		-0.016435
0.135000		-0.720000		-0.016008
0.136000		-0.720000		-0.015597
0.137000		-0.720000		-0.015202
0.138000		-0.720000		-0.014820
0.139000		-0.720000		-0.014453
0.140000		-0.720000		-0.014098
0.141000		-0.720000		-0.013756
0.142000		-0.720000		-0.013426
0.143000		-0.720000		-0.013108
0.144000		-0.720000		-0.012800
0.145000		-0.720000		-0.012503
0.146000		-0.720000		-0.012216
0.147000		-0.720000		-0.011939
0.148000		-0.720000		-0.011671
0.149000		-0.720000		-0.011411
0.150000		-0.720000		-0.011160
0.151000		-0.720000		-0.010918
0.152000		-0.720000		-0.010683
0.153000		-0.720000		-0.010455
0.154000		-0.720000		-0.010234
0.155000		-0.720000		-0.010021
0.156000		-0.720000		-0.009814
0.157000		-0.720000		-0.009613
0.158000		-0.720000		-0.009418
0.159000		-0.720000		-0.009229
0.160000		-0.720000		-0.009046
0.161000		-0.720000		-0.008868
0.162000		-0.720000		-0.008695
0.163000		-0.720000		-0.008527
0.164000		-0.720000		-0.008364
0.165000		-0.720000		-0.008206
0.166000		-0.720000		-0.008052
0.167000		-0.720000		-0.007902
0.168000		-0.720000		-0.007757
0.169000		-0.720000		-0.007615
0.170000		-0.720000		-0.007477
0.171000		-0.720000		-0.007343
0.172000		-0.720000		-0.007212
0.173000		-0.720000		-0.007085
0.174000		-0.720000		-0.006961
0.175000		-0.720000		-0.006841
0.176000		-0.720000		-0.006723
0.177000		-0.720000		-0.006608
0.178000		-0.720000		-0.006496
0.179000		-0.720000		-0.006387
0.180000		-0.720000		-0.006281
0.181000		-0.720000		-0.006177
0.182000		-0.720000		-0.006076
