101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.149000		-0.760000		-0.179900
0.150000		-0.760000		-0.179767
0.151000		-0.760000		-0.179647
0.152000		-0.760000		-0.179541
0.153000		-0.760000		-0.179448
0.154000		-0.760000		-0.179367
0.155000		-0.760000		-0.179299
0.156000		-0.760000		-0.179244
0.157000		-0.760000		-0.179200
0.158000		-0.760000		-0.179167
0.159000		-0.760000		-0.179146
0.160000		-0.760000		-0.179136
0.161000		-0.760000		-0.179137
0.162000		-0.760000		-0.179148
0.163000		-0.760000		-0.179170
0.164000		-0.760000		-0.179201
0.165000		-0.760000		-0.179242
0.166000		-0.760000		-0.179293
0.167000		-0.760000		-0.179352
0.168000		-0.760000		-0.179421
0.169000		-0.760000		-0.179498
0.170000		-0.760000		-0.179583
0.171000		-0.760000		-0.179677
0.172000		-0.760000		-0.179779
0.173000		-0.760000		-0.179888
0.174000		-0.760000		-0.180005
0.175000		-0.760000		-0.180129
0.176000		-0.760000		-0.180260
0.177000		-0.760000		-0.180397
0.178000		-0.760000		-0.180542
0.179000		-0.760000		-0.180692
0.180000		-0.760000		-0.180849
0.181000		-0.760000		-0.181012
0.182000		-0.760000		-0.181181
0.183000		-0.760000		-0.181355
0.184000		-0.760000		-0.181534
0.185000		-0.760000		-0.181719
0.186000		-0.760000		-0.181908
0.187000		-0.760000		-0.182102
0.188000		-0.760000		-0.182301
0.189000		-0.760000		-0.182505
0.190000		-0.760000		-0.182712
0.191000		-0.760000		-0.182924
0.192000		-0.760000		-0.183140
0.193000		-0.760000		-0.183359
0.194000		-0.760000		-0.183582
0.195000		-0.760000		-0.183809
0.196000		-0.760000		-0.184038
0.197000		-0.760000		-0.184271
0.198000		-0.760000		-0.184507
0.199000		-0.760000		-0.184746
0.200000		-0.760000		-0.184988
0.100000		-0.740000		-0.207320
0.101000		-0.740000		-0.206220
0.102000		-0.740000		-0.205144
0.103000		-0.740000		-0.204090
0.104000		-0.740000		-0.203059
0.105000		-0.740000		-0.202052
0.106000		-0.740000		-0.201067
0.107000		-0.740000		-0.200106
0.108000		-0.740000		-0.199167
0.109000		-0.740000		-0.198252
0.110000		-0.740000		-0.197360
0.111000		-0.740000		-0.196491
0.112000		-0.740000		-0.195645
0.113000		-0.740000		-0.194822
0.114000		-0.740000		-0.194022
0.115000		-0.740000		-0.193244
0.116000		-0.740000		-0.192490
0.117000		-0.740000		-0.191758
0.118000		-0.740000		-0.191048
0.119000		-0.740000		-0.190361
0.120000		-0.740000		-0.189696
0.121000		-0.740000		-0.189052
0.122000		-0.740000		-0.188431
0.123000		-0.740000		-0.187830
0.124000		-0.740000		-0.187251
0.125000		-0.740000		-0.186694
0.126000		-0.740000		-0.186157
0.127000		-0.740000		-0.185640
0.128000		-0.740000		-0.185144
0.129000		-0.740000		-0.184668
0.130000		-0.740000		-0.184211
0.131000		-0.740000		-0.183774
0.132000		-0.740000		-0.183356
0.133000		-0.740000		-0.182958
0.134000		-0.740000		-0.182577
0.135000		-0.740000		-0.182215
0.136000		-0.740000		-0.181871
0.137000		-0.740000		-0.181545
0.138000		-0.740000		-0.181236
0.139000		-0.740000		-0.180944
0.140000		-0.740000		-0.180669
0.141000		-0.740000		-0.180411
0.142000		-0.740000		-0.180168
0.143000		-0.740000		-0.179941
0.144000		-0.740000		-0.179730
0.145000		-0.740000		-0.179534
0.146000		-0.740000		-0.179353
0.147000		-0.740000		-0.179186
0.148000		-0.740000		-0.179034
0.149000		-0.740000		-0.178896
0.150000		-0.740000		-0.178771
0.151000		-0.740000		-0.178660
0.152000		-0.740000		-0.178561
0.153000		-0.740000		-0.178476
0.154000		-0.740000		-0.178402
0.155000		-0.740000		-0.178341
0.156000		-0.740000		-0.178292
0.157000		-0.740000		-0.178254
0.158000		-0.740000		-0.178228
0.159000		-0.740000		-0.178213
0.160000		-0.740000		-0.178208
0.161000		-0.740000		-0.178214
0.162000		-0.740000		-0.178229
0.163000		-0.740000		-0.178255
0.164000		-0.740000		-0.178291
0.165000		-0.740000		-0.178335
0.166000		-0.740000		-0.178389
0.167000		-0.740000		-0.178452
0.168000		-0.740000		-0.178523
0.169000		-0.740000		-0.178603
0.170000		-0.740000		-0.178690
0.171000		-0.740000		-0.178786
0.172000		-0.740000		-0.178889
0.173000		-0.740000		-0.179000
0.174000		-0.740000		-0.179117
0.175000		-0.740000		-0.179242
0.176000		-0.740000		-0.179373
0.177000		-0.740000		-0.179511
0.178000		-0.740000		-0.179655
0.179000		-0.740000		-0.179806
0.180000		-0.740000		-0.179962
0.181000		-0.740000		-0.180124
0.182000		-0.740000		-0.180291
0.183000		-0.740000		-0.180464
0.184000		-0.740000		-0.180641
0.185000		-0.740000		-0.180824
0.186000		-0.740000		-0.181011
0.187000		-0.740000		-0.181203
0.188000		-0.740000		-0.181399
0.189000		-0.740000		-0.181599
0.190000		-0.740000		-0.181804
0.191000		-0.740000		-0.182012
0.192000		-0.740000		-0.182224
0.193000		-0.740000		-0.182440
0.194000		-0.740000		-0.182658
0.195000		-0.740000		-0.182880
0.196000		-0.740000		-0.183106
0.197000		-0.740000		-0.183334
0.198000		-0.740000		-0.183565
0.199000		-0.740000		-0.183798
0.200000		-0.740000		-0.184034
0.100000		-0.720000		-0.205973
0.101000		-0.720000		-0.204897
0.102000		-0.720000		-0.203844
0.103000		-0.720000		-0.202812
0.104000		-0.720000		-0.201803
0.105000		-0.720000		-0.200815
0.106000		-0.720000		-0.199850
0.107000		-0.720000		-0.198907
0.108000		-0.720000		-0.197987
0.109000		-0.720000		-0.197090
0.110000		-0.720000		-0.196214
0.111000		-0.720000		-0.195362
0.112000		-0.720000		-0.194531
0.113000		-0.720000		-0.193724
0.114000		-0.720000		-0.192938
0.115000		-0.720000		-0.192176
0.116000		-0.720000		-0.191435
0.117000		-0.720000		-0.190716
0.118000		-0.720000		-0.190020
0.119000		-0.720000		-0.189345
0.120000		-0.720000		-0.188692
0.121000		-0.720000		-0.188061
0.122000		-0.720000		-0.187451
0.123000		-0.720000		-0.186862
0.124000		-0.720000		-0.186294
0.125000		-0.720000		-0.185746
0.126000		-0.720000		-0.185219
0.127000		-0.720000		-0.184713
0.128000		-0.720000		-0.184226
0.129000		-0.720000		-0.183759
