101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.173000		-0.700000		304.816222
0.174000		-0.700000		308.475838
0.175000		-0.700000		312.145122
0.176000		-0.700000		315.823755
0.177000		-0.700000		319.511421
0.178000		-0.700000		323.207802
0.179000		-0.700000		326.912584
0.180000		-0.700000		330.625452
0.181000		-0.700000		334.346091
0.182000		-0.700000		338.074189
0.183000		-0.700000		341.809435
0.184000		-0.700000		345.551518
0.185000		-0.700000		349.300130
0.186000		-0.700000		353.054962
0.187000		-0.700000		356.815711
0.188000		-0.700000		360.582071
0.189000		-0.700000		364.353741
0.190000		-0.700000		368.130420
0.191000		-0.700000		371.911811
0.192000		-0.700000		375.697617
0.193000		-0.700000		379.487544
0.194000		-0.700000		383.281301
0.195000		-0.700000		387.078598
0.196000		-0.700000		390.879148
0.197000		-0.700000		394.682666
0.198000		-0.700000		398.488870
0.199000		-0.700000		402.297480
0.200000		-0.700000		406.108219
0.100000		-0.680000		69.202325
0.101000		-0.680000		71.160102
0.102000		-0.680000		73.144400
0.103000		-0.680000		75.155182
0.104000		-0.680000		77.192405
0.105000		-0.680000		79.256020
0.106000		-0.680000		81.345970
0.107000		-0.680000		83.462194
0.108000		-0.680000		85.604625
0.109000		-0.680000		87.773187
0.110000		-0.680000		89.967802
0.111000		-0.680000		92.188383
0.112000		-0.680000		94.434838
0.113000		-0.680000		96.707068
0.114000		-0.680000		99.004971
0.115000		-0.680000		101.328437
0.116000		-0.680000		103.677351
0.117000		-0.680000		106.051593
0.118000		-0.680000		108.451036
0.119000		-0.680000		110.875551
0.120000		-0.680000		113.325000
0.121000		-0.680000		115.799244
0.122000		-0.680000		118.298136
0.123000		-0.680000		120.821525
0.124000		-0.680000		123.369256
0.125000		-0.680000		125.941169
0.126000		-0.680000		128.537099
0.127000		-0.680000		131.156875
0.128000		-0.680000		133.800326
0.129000		-0.680000		136.467271
0.130000		-0.680000		139.157529
0.131000		-0.680000		141.870913
0.132000		-0.680000		144.607230
0.133000		-0.680000		147.366287
0.134000		-0.680000		150.147883
0.135000		-0.680000		152.951814
0.136000		-0.680000		155.777872
0.137000		-0.680000		158.625847
0.138000		-0.680000		161.495521
0.139000		-0.680000		164.386674
0.140000		-0.680000		167.299084
0.141000		-0.680000		170.232523
0.142000		-0.680000		173.186759
0.143000		-0.680000		176.161558
0.144000		-0.680000		179.156681
0.145000		-0.680000		182.171885
0.146000		-0.680000		185.206925
0.147000		-0.680000		188.261552
0.148000		-0.680000		191.335513
0.149000		-0.680000		194.428553
0.150000		-0.680000		197.540413
0.151000		-0.680000		200.670830
0.152000		-0.680000		203.819540
0.153000		-0.680000		206.986275
0.154000		-0.680000		210.170764
0.155000		-0.680000		213.372733
0.156000		-0.680000		216.591908
0.157000		-0.680000		219.828009
0.158000		-0.680000		223.080756
0.159000		-0.680000		226.349866
0.160000		-0.680000		229.635053
0.161000		-0.680000		232.936030
0.162000		-0.680000		236.252509
0.163000		-0.680000		239.584199
0.164000		-0.680000		242.930807
0.165000		-0.680000		246.292039
0.166000		-0.680000		249.667601
0.167000		-0.680000		253.057195
0.168000		-0.680000		256.460524
0.169000		-0.680000		259.877290
0.170000		-0.680000		263.307193
0.171000		-0.680000		266.749933
0.172000		-0.680000		270.205209
0.173000		-0.680000		273.672719
0.174000		-0.680000		277.152163
0.175000		-0.680000		280.643238
0.176000		-0.680000		284.145643
0.177000		-0.680000		287.659074
0.178000		-0.680000		291.183232
0.179000		-0.680000		294.717813
0.180000		-0.680000		298.262517
0.181000		-0.680000		301.817043
0.182000		-0.680000		305.381091
0.183000		-0.680000		308.954361
0.184000		-0.680000		312.536555
0.185000		-0.680000		316.127374
0.186000		-0.680000		319.726523
0.187000		-0.680000		323.333705
0.188000		-0.680000		326.948626
0.189000		-0.680000		330.570993
0.190000		-0.680000		334.200513
0.191000		-0.680000		337.836897
0.192000		-0.680000		341.479854
0.193000		-0.680000		345.129099
0.194000		-0.680000		348.784344
0.195000		-0.680000		352.445306
0.196000		-0.680000		356.111704
0.197000		-0.680000		359.783255
0.198000		-0.680000		363.459683
0.199000		-0.680000		367.140710
0.200000		-0.680000		370.826062
0.100000		-0.660000		57.728088
0.101000		-0.660000		59.459458
0.102000		-0.660000		61.216752
0.103000		-0.660000		62.999959
0.104000		-0.660000		64.809066
0.105000		-0.660000		66.644055
0.106000		-0.660000		68.504901
0.107000		-0.660000		70.391577
0.108000		-0.660000		72.304049
0.109000		-0.660000		74.242278
0.110000		-0.660000		76.206221
0.111000		-0.660000		78.195827
0.112000		-0.660000		80.211041
0.113000		-0.660000		82.251805
0.114000		-0.660000		84.318051
0.115000		-0.660000		86.409710
0.116000		-0.660000		88.526705
0.117000		-0.660000		90.668955
0.118000		-0.660000		92.836372
