101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.156000		-0.660000		509.386747
0.157000		-0.660000		518.296899
0.158000		-0.660000		527.303009
0.159000		-0.660000		536.405142
0.160000		-0.660000		545.603345
0.161000		-0.660000		554.897649
0.162000		-0.660000		564.288067
0.163000		-0.660000		573.774596
0.164000		-0.660000		583.357216
0.165000		-0.660000		593.035891
0.166000		-0.660000		602.810568
0.167000		-0.660000		612.681177
0.168000		-0.660000		622.647634
0.169000		-0.660000		632.709837
0.170000		-0.660000		642.867668
0.171000		-0.660000		653.120996
0.172000		-0.660000		663.469671
0.173000		-0.660000		673.913531
0.174000		-0.660000		684.452396
0.175000		-0.660000		695.086072
0.176000		-0.660000		705.814353
0.177000		-0.660000		716.637014
0.178000		-0.660000		727.553820
0.179000		-0.660000		738.564518
0.180000		-0.660000		749.668844
0.181000		-0.660000		760.866520
0.182000		-0.660000		772.157253
0.183000		-0.660000		783.540740
0.184000		-0.660000		795.016661
0.185000		-0.660000		806.584688
0.186000		-0.660000		818.244477
0.187000		-0.660000		829.995674
0.188000		-0.660000		841.837911
0.189000		-0.660000		853.770811
0.190000		-0.660000		865.793984
0.191000		-0.660000		877.907029
0.192000		-0.660000		890.109535
0.193000		-0.660000		902.401079
0.194000		-0.660000		914.781229
0.195000		-0.660000		927.249543
0.196000		-0.660000		939.805567
0.197000		-0.660000		952.448842
0.198000		-0.660000		965.178894
0.199000		-0.660000		977.995244
0.200000		-0.660000		990.897403
0.100000		-0.640000		130.438348
0.101000		-0.640000		134.055515
0.102000		-0.640000		137.738982
0.103000		-0.640000		141.489465
0.104000		-0.640000		145.307681
0.105000		-0.640000		149.194343
0.106000		-0.640000		153.150163
0.107000		-0.640000		157.175854
0.108000		-0.640000		161.272122
0.109000		-0.640000		165.439673
0.110000		-0.640000		169.679209
0.111000		-0.640000		173.991429
0.112000		-0.640000		178.377029
0.113000		-0.640000		182.836697
0.114000		-0.640000		187.371122
0.115000		-0.640000		191.980982
0.116000		-0.640000		196.666954
0.117000		-0.640000		201.429708
0.118000		-0.640000		206.269905
0.119000		-0.640000		211.188202
0.120000		-0.640000		216.185248
0.121000		-0.640000		221.261684
0.122000		-0.640000		226.418144
0.123000		-0.640000		231.655252
0.124000		-0.640000		236.973623
0.125000		-0.640000		242.373863
0.126000		-0.640000		247.856570
0.127000		-0.640000		253.422328
0.128000		-0.640000		259.071715
0.129000		-0.640000		264.805293
0.130000		-0.640000		270.623617
0.131000		-0.640000		276.527228
0.132000		-0.640000		282.516655
0.133000		-0.640000		288.592414
0.134000		-0.640000		294.755011
0.135000		-0.640000		301.004935
0.136000		-0.640000		307.342664
0.137000		-0.640000		313.768662
0.138000		-0.640000		320.283378
0.139000		-0.640000		326.887248
0.140000		-0.640000		333.580693
0.141000		-0.640000		340.364118
0.142000		-0.640000		347.237915
0.143000		-0.640000		354.202459
